nr,osoba,wynik,pozycja_w_kolejce,link,id,modele,wynik_bez_party_member,rejestr_io,partie,zatrudniony_od,posady,kandydatury
76,Iwona Gibas,3.57,82,https://autopush.koryta.pl/osoba/cEC1mnz1E5aI23QyY06D,cEC1mnz1E5aI23QyY06D,evidence=3 pipeline=4 pipeline-capture=3 pipeline-pagerank=3 pipeline-turnover=4,3.57,https://rejestr.io/osoby/3290384,PiS,2024-11-21,"Rada Nadzorcza @ MAŁOPOLSKI SZPITAL CHORÓB PŁUC I REHABILITACJI IM. EDMUNDA WOJTYŁY (KRS 0000030254, publiczna) 2024-11-21–nadal; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL OKULISTYCZNY W KRAKOWIE (KRS 0000005551, publiczna) 2024-10-30–nadal",2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2023 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: nie należy do partii politycznej; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2019 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: nie należy do partii politycznej; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS
77,Piotr Walkowski,3.57,83,https://autopush.koryta.pl/osoba/mOVWFc6xuarTFxeBwUbO,mOVWFc6xuarTFxeBwUbO,evidence=3 pipeline=4 pipeline-capture=4 pipeline-pagerank=2,3.57,https://rejestr.io/osoby/1153315,PSL,2022-11-10,"Rada Nadzorcza @ PRZEDSIĘBIORSTWO USŁUG KOMUNALNYCH (KRS 0000064456, publiczna) 2022-11-10–2024-08-14",2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2024 Samorząd KWW PIOTRA WALKOWSKIEGO PKW-deklaracja: nie należy do partii politycznej
78,Krzysztof Nosal,3.57,84,https://autopush.koryta.pl/osoba/uTD6wbmeCQe6l8dhchAW,uTD6wbmeCQe6l8dhchAW,evidence=4 pipeline=3 pipeline-capture=4 pipeline-facts=5 pipeline-pagerank=2 pipeline-turnover=3,3.42,https://rejestr.io/osoby/701849,"PSL, Polska 2050",2024-08-28,"Zarząd @ STOWARZYSZENIE AGLOMERACJA KALISKO-OSTROWSKA (KRS 0000547613, prywatna/nieznana) 2015-03-10–2024-10-08; Zarząd @ WYTWÓRNIA SPRZĘTU KOMUNIKACYJNEGO ""PZL-KALISZ"" (KRS 0000071223, prywatna/nieznana) 2024-08-28–nadal","1998 Samorząd KOMITET WYBORCZY ""SAMORZĄDNY ZAKRZYN""; 2023 Sejm KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI WYBRANY; 2005 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2015 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 1994 Samorząd; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2006 Samorząd Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2002 Samorząd KWW Lisków - Nasza Gmina; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY"
79,Marek Kos,3.56,86,https://autopush.koryta.pl/osoba/2J8KRRyvRe3XRPBudz42,2J8KRRyvRe3XRPBudz42,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-turnover=3,3.39,https://rejestr.io/osoby/2335208,"PSL, Polska 2050",2020-04-23,"Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. STEFANA KARDYNAŁA WYSZYŃSKIEGO SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE (KRS 0000003717, publiczna) 2020-04-23–nadal",2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 2019 Sejm KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI WYBRANY; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2015 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2009 Parlament Europejski Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL
80,Andrzej Grzmielewicz,3.56,87,https://autopush.koryta.pl/osoba/Hp2Tbfqz6Du8JZDUYqr4,Hp2Tbfqz6Du8JZDUYqr4,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-turnover=3,3.39,https://rejestr.io/osoby/1315628,PiS,2007-02-01,"Rada Nadzorcza @ CENTRUM SPORTOWO REKREACYJNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000096393, publiczna) 2007-02-01–2008-05-08","2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek Prawa i Sprawiedliwości WYBRANY; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW ANDRZEJA GRZMIELEWICZA; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 1998 Samorząd Niezależny Komitet Wyborczy Ziemi Bogatyńskiej; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 1994 Samorząd; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW ANDRZEJA GRZMIELEWICZA PKW-deklaracja: Prawo i Sprawiedliwość; 2002 Samorząd KWW TWOJE MIASTO, TWOJA GMINA - BOGATYNIA; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2006 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2006 Samorząd KW Prawo i Sprawiedliwość partia: PiS"
81,Kazimierz Barczyk,3.56,88,https://autopush.koryta.pl/osoba/ROtQOIj195b0MAzOeMhC,ROtQOIj195b0MAzOeMhC,evidence=4 pipeline=4 pipeline-capture=3 pipeline-facts=4 pipeline-pagerank=3 pipeline-turnover=3,3.40,https://rejestr.io/osoby/1173777,PO,2024-10-30,"Rada Nadzorcza @ WALCOWNIA METALI ""DZIEDZICE"" (KRS 0000084770, prywatna/nieznana) 2003-02-26–2003-12-01; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL OKULISTYCZNY W KRAKOWIE (KRS 0000005551, publiczna) 2024-10-30–nadal",2007 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2006 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 1991 Sejm Porozumienie Obywatelskie Centrum PKW-deklaracja: PC; 1998 Samorząd Komitet Wyborczy Akcja Wyborcza Solidarność; 1997 Sejm Komitet Wyborczy Akcja Wyborcza Solidarność; 1993 Sejm Porozumienie Centrum PKW-deklaracja: Zjednoczenie Polskie; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2001 Sejm Koalicyjny Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy PKW-deklaracja: RS AWS; 1994 Samorząd; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO
82,Lidia Stanisława Gądek,3.56,89,https://autopush.koryta.pl/osoba/hFxAK454SfqGoZ3uKTt2,hFxAK454SfqGoZ3uKTt2,evidence=4 pipeline=4 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-together=1 pipeline-turnover=4,3.38,https://rejestr.io/osoby/1273316,"PO, PSL, Polska 2050",2024-11-21,"Rada Nadzorcza @ MAŁOPOLSKI SZPITAL CHORÓB PŁUC I REHABILITACJI IM. EDMUNDA WOJTYŁY (KRS 0000030254, publiczna) 2012-10-02–2021-06-29; Rada Nadzorcza @ MAŁOPOLSKI SZPITAL CHORÓB PŁUC I REHABILITACJI IM. EDMUNDA WOJTYŁY (KRS 0000030254, publiczna) 2024-11-21–nadal",2006 Samorząd Komitet Wyborczy Wyborców Samorząd 2007 - 2013; 1998 Samorząd Krajowy Komitet Wyborczy Przymierze Społeczne: PSL-UP-KPEiR partia: PSL; 2019 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY; 2002 Samorząd KWW Porozumienie - Samorząd 2002; 2015 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI WYBRANY; 2011 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO PKW-deklaracja: nie należy do partii politycznej WYBRANY; 2014 Parlament Europejski Komitet Wyborczy Platforma Obywatelska RP partia: PO PKW-deklaracja: nie należy do partii politycznej
83,Tadeusz Pogoda,3.55,90,https://autopush.koryta.pl/osoba/7fxvHt2FxaohkGIJOaBR,7fxvHt2FxaohkGIJOaBR,evidence=3 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=3 pipeline-turnover=3,3.55,https://rejestr.io/osoby/1293611,PO,2025-12-18,"Rada Nadzorcza @ KUJAWSKO - POMORSKIE CENTRUM PULMONOLOGII W BYDGOSZCZY (KRS 0000063546, publiczna) 2025-12-18–nadal",1998 Samorząd Komitet Wyborczy - Obywatelskie Porozumienie Samorządowe; 1994 Samorząd; 2002 Samorząd KWW Obywatelskie Porozumienie Samorządowe WYBRANY; 2002 Samorząd KWW Obywatelskie Porozumienie Samorządowe; 1991 Sejm Porozumienie Obywatelskie Centrum; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW OBYWATELSKIE POROZUMIENIE SAMORZĄDOWE WYBRANY; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2019 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: nie należy do partii politycznej; 2006 Samorząd KWWObywatelskie Porozumienie Samorządowe; 2014 Samorząd Komitet Wyborczy Obywatelskie Porozumienie Samorządowe; 2006 Samorząd Komitet Wyborczy Wyborców Obywatelskie Porozumienie Samorządowe; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2002 Samorząd KWW Obywatelskie Porozumienie Samorządowe
84,Wojciech Dobrołowicz,3.55,91,https://autopush.koryta.pl/osoba/J0YBo3NZYvMNUJ2ih48l,J0YBo3NZYvMNUJ2ih48l,evidence=4 pipeline=3 pipeline-capture=3 pipeline-facts=5 pipeline-pagerank=2,3.34,https://rejestr.io/osoby/475608,PiS,2026-08-04,"Rada Nadzorcza @ SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W BOGATYNI (KRS 0000056231, publiczna) 2026-08-04–nadal",2014 Samorząd Komitet Wyborczy Wyborców Tradycja i Nowoczesność; 2023 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW WOJCIECHA DOBROŁOWICZA; 2024 Samorząd KWW WOJCIECHA DOBROŁOWICZA PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość WYBRANY; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW WOJCIECHA DOBROŁOWICZA
85,Alina Bednarz,3.55,92,https://autopush.koryta.pl/osoba/SkTxh84w3Quwd0dNCmx3,SkTxh84w3Quwd0dNCmx3,evidence=4 pipeline=3 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-turnover=5,3.38,https://rejestr.io/osoby/1300746,PO,2025-01-23,"Rada Nadzorcza @ OKRĘGOWY SZPITAL KOLEJOWY W KATOWICACH -S.P.Z.O.Z. (KRS 0000102533, publiczna) 2020-07-02–nadal; Rada Nadzorcza @ GÓRNOŚLĄSKIE CENTRUM MEDYCZNE IM. PROF. LESZKA GIECA ŚLĄSKIEGO UNIWERSYTETU MEDYCZNEGO W KATOWICACH (KRS 0000064696, publiczna) 2025-01-23–nadal; Rada Nadzorcza @ ZESPÓŁ WOJEWÓDZKICH PRZYCHODNI SPECJALISTYCZNYCH W KATOWICACH (KRS 0000057698, publiczna) 2023-08-28–nadal",2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2023 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Nowoczesna; 2014 Samorząd Komitet Wyborczy Wyborców Barbary Koniecznej; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW TYCHY NASZĄ MAŁĄ OJCZYZNĄ; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2019 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Nowoczesna
86,Artur Stanisław Bieliński,3.55,93,https://autopush.koryta.pl/osoba/YuzkdcGj61PftbFqy1m9,YuzkdcGj61PftbFqy1m9,evidence=3 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=2 pipeline-turnover=3,3.55,https://rejestr.io/osoby/1315632,PO,2017-07-21,"Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ (KRS 0000186967, publiczna) 2009-07-30–2011-07-11; Rada Nadzorcza @ KARKONOSKA AGENCJA ROZWOJU REGIONALNEGO (KRS 0000073772, prywatna/nieznana) 2017-07-21–2019-02-22; Zarząd @ PRZEDSIĘBIORSTWO ZARZĄDU NIERUCHOMOŚCIAMI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000141594, publiczna) 2017-02-20–2018-12-03; Rada Nadzorcza @ KARKONOSKA AGENCJA ROZWOJU REGIONALNEGO (KRS 0000073772, prywatna/nieznana) 2007-12-05–2009-07-07",1994 Samorząd; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2015 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2006 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO
87,Jarosław Jan Janaszewski,3.55,94,https://autopush.koryta.pl/osoba/egZPB71rtKYPfqeJyQXC,egZPB71rtKYPfqeJyQXC,evidence=3 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=1 pipeline-turnover=3,3.55,https://rejestr.io/osoby/419885,,2025-07-22,"Rada Nadzorcza @ PRZEDSIĘBIORSTWO GOSPODARKI MIESZKANIOWEJ (KRS 0000040399, publiczna) 2013-04-04–2016-08-12; Zarząd @ MIEJSKI ZAKŁAD KOMUNIKACJI (KRS 0000113970, publiczna) 2025-07-22–nadal",2018 Samorząd KOMITET WYBORCZY STOWARZYSZENIA ZIEMIA BEŁCHATOWSKA; 2014 Samorząd Komitet Wyborczy Stowarzyszenia Ziemia Bełchatowska; 2014 Samorząd Komitet Wyborczy Stowarzyszenia Ziemia Bełchatowska; 2010 Samorząd KOMITET WYBORCZY STOWARZYSZENIA ZIEMIA BEŁCHATOWSKA; 2024 Samorząd KW STOWARZYSZENIE ZIEMIA BEŁCHATOWSKA WYBRANY
88,Norbert Mastalerz,3.55,95,https://autopush.koryta.pl/osoba/gGL6UIyVPHFnjKMAv2Uc,gGL6UIyVPHFnjKMAv2Uc,evidence=4 pipeline=3 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-turnover=5,3.38,https://rejestr.io/osoby/1293290,"PO, SLD",2024-11-18,"Rada Nadzorcza @ SAMODZIELNY PUBLICZNY OŚRODEK REHABILITACJI LECZNICZEJ (KRS 0000009574, publiczna) 2015-11-27–2019-10-14; Rada Nadzorcza @ SAMODZIELNY PUBLICZNY OŚRODEK REHABILITACJI LECZNICZEJ (KRS 0000009574, publiczna) 2001-04-30–2011-11-02; Rada Nadzorcza @ PRZYCHODNIA SPECJALISTYCZNA W TARNOBRZEGU (KRS 0000042515, publiczna) 2024-11-18–nadal; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL IM.ZOFII Z ZAMOYSKICH TARNOWSKIEJ W TARNOBRZEGU (KRS 0000003145, publiczna) 2003-12-22–2004-09-08",1998 Samorząd Krajowy Komitet Wyborczy Sojuszu Lewicy Demokratycznej partia: SLD; 1994 Samorząd; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD; 2007 Sejm Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2001 Sejm Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW TARNOBRZESKA LEWICA WYBRANY; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2006 Samorząd Komitet Wyborczy Wyborców RATUJMY TARNOBRZEG; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW TARNOBRZESKA LEWICA; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD
89,Jacek Chmarzyński,3.55,96,https://autopush.koryta.pl/osoba/qp2IZlVhVGEf5R1GBORu,qp2IZlVhVGEf5R1GBORu,evidence=3 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=3 pipeline-turnover=3,3.55,https://rejestr.io/osoby/1218727,"PO, PiS",2019-12-03,"Rada Nadzorcza @ KUJAWSKO - POMORSKIE CENTRUM PULMONOLOGII W BYDGOSZCZY (KRS 0000063546, publiczna) 2019-12-03–nadal","1998 Samorząd Komitet Wyborczy ""Obywatelskie Porozumienie Samorządowe""; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO; 2002 Samorząd KWW Wspólnota Wsi"
90,Magdalena Barbara Bartkowicz,3.55,97,https://autopush.koryta.pl/osoba/uPfd4wjsmQiilSgUP8sl,uPfd4wjsmQiilSgUP8sl,evidence=4 pipeline=3 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-together=1 pipeline-turnover=5,3.38,https://rejestr.io/osoby/2740935,PiS,2025-03-20,"Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W MIELCU (KRS 0000081748, publiczna) 2025-02-04–nadal; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL IM.ZOFII Z ZAMOYSKICH TARNOWSKIEJ W TARNOBRZEGU (KRS 0000003145, publiczna) 2020-01-23–nadal; Rada Nadzorcza @ PRZEDSIĘBIORSTWO GOSPODAROWANIA ODPADAMI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000324965, publiczna) 2025-03-20–2025-06-27",2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2019 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość
91,Katarzyna Stachowicz,3.55,98,https://autopush.koryta.pl/osoba/wByrKmGh3N7vjjJIkJCf,wByrKmGh3N7vjjJIkJCf,evidence=4 pipeline=3 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-turnover=5,3.38,https://rejestr.io/osoby/293260,PO,2023-12-21,"Zarząd @ REJONOWE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000213560, publiczna) 2019-02-15–2023-10-16; Rada Nadzorcza @ WOJKOWICKIE WODY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000749031, publiczna) 2019-03-06–2024-09-09; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY NR 5 IM. ŚW. BARBARY W SOSNOWCU (KRS 0000003544, publiczna) 2023-12-21–nadal",2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2011 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO PKW-deklaracja: członek partii Platforma Obywatelska RP; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2023 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2024 Parlament Europejski KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2014 Samorząd Komitet Wyborczy Wyborców DWS - Niezależni Tomasza Paska
92,Jarosław Artur Ciszewski,3.54,99,https://autopush.koryta.pl/osoba/ZCQTO8xblAGKZRKV55GO,ZCQTO8xblAGKZRKV55GO,evidence=3 pipeline=4 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=1 pipeline-turnover=4,3.54,https://rejestr.io/osoby/1057128,PO,2024-07-22,"Rada Nadzorcza @ OLK PORADNIE SPECJALISTYCZNE W SOSNOWCU (KRS 0000488542, prywatna/nieznana) 2013-11-29–2019-06-10; Zarząd @ REJONOWE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000213560, publiczna) 2015-10-05–2019-02-15; Zarząd @ REJONOWE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000213560, publiczna) 2024-07-22–nadal; Zarząd @ REJONOWE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000213560, publiczna) 2008-07-14–2011-08-31; Rada Nadzorcza @ CENTRUM ZDROWIA DZIECKA I RODZINY IM. JANA PAWŁA II W SOSNOWCU (KRS 0000532342, publiczna) 2023-02-13–nadal","1994 Samorząd; 2002 Samorząd KWW NIEZALEŻNA ALTERNATYWA WYBORCZA; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2007 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO; 1998 Samorząd Komitet Wyborczy ""Forum Wyborcze 98""; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO"
93,Piotr Paweł Wieczorek,3.53,100,https://autopush.koryta.pl/osoba/DiSAyYMlm0MwhSyvmpYF,DiSAyYMlm0MwhSyvmpYF,evidence=3 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1,3.53,https://rejestr.io/osoby/2360404,,2022-05-13,"Rada Nadzorcza @ UNIWERSYTECKI SZPITAL KLINICZNY W OPOLU (KRS 0000014443, publiczna) 2022-05-13–2026-01-05","2006 Samorząd Komitet Wyborczy Wyborców NASZA GMINA DĄBROWA; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW ""TU JEST NASZ DOM"" WYBRANY; 1994 Samorząd; 2014 Samorząd Komitet Wyborczy Wyborców ""Tu Jest Nasz Dom""; 1998 Samorząd Komitet Wyborczy ""Sławice""; 2002 Samorząd KWW NASZA GMINA"
